"Sp","Order","diet_hoc","wild_status_reseq","IUCN","threatened","harm_mean_wt2","gw_het_mean","outbred_het_mode","froh","ppn_conserved","phylop_kurtosis","ppn_miss_conserved","het_miss_impc_L","het_miss_impc_V","het_lof_impc_L","het_lof_impc_V","hom_miss_impc_L","hom_miss_impc_V"
"Felis_nigripes","CARNIVORA","Carnivore","captive","VU",1,1.2075322156,0.00068493,0.0006,0.4337779233,0.0257543506,25.7922937388,0.075030254,0.3636363636,0.40625,0.0454545455,0,0.2514367816,0.298857868
"Fukomys_damarensis","RODENTIA","Omnivore","captive","LC",0,3.6757281316,0.00118682,0.0008,0.3859088382,0.034032295,24.8788857683,0.090306601,0.3522012579,0.410801964,0.0031446541,0.0016393443,0.2623865632,0.3429728578
"Galeopterus_variegatus","DERMOPTERA","Herbivore","wild","LC",0,2.867245229,0.00433487,0.0068,0.2820295726,0.035987029,22.0624066268,0.084223482,0.2859060403,0.3613404565,0.0013422819,0.0014584346,0.272160179,0.3539819849
"Giraffa_tippelskirchi","CETARTIODACTYLA","Herbivore","wild","EN",1,0.8803322725,0.00110468,0.0005,0.3556912392,0.0344796289,22.2048454593,0.08432155,0.4035874439,0.3760683761,0,0,0.2302916428,0.314031528
"Glis_glis","RODENTIA","Omnivore","wild","LC",0,0.05197044,0.00070358,0.0006,0.0940775749,0.0293518755,22.5279244553,0.059852829,"NA",0.5862068966,"NA",0,0.2374886946,0.2958693564
"Gorilla_gorilla","PRIMATES","Herbivore","captive","CR",1,0.5033127466,0.00529792,0.0045,0.0184823647,0.0314701709,22.7889320929,0.103758402,0.3925925926,0.4255319149,0.0074074074,0.0102214651,0.2926741573,0.3741841098
"Graphiurus_murinus","RODENTIA","Omnivore","captive","LC",0,14.733755921,0.00234642,0.007,0.6309884963,0.0286830678,23.2333025686,0.062725003,0.2916666667,0.2629815745,0,0.0016750419,0.2443922796,0.3040737415
"Helogale_parvula","CARNIVORA","Omnivore","captive","LC",0,3.7907127091,0.00111729,0.0016,0.5242012959,0.0283357031,24.2449028586,0.074620832,0.3227091633,0.3509749304,0.0039840637,0.004178273,0.2506034868,0.3135751379
"Hemitragus_hylocrius","CETARTIODACTYLA","Herbivore","NA","EN",1,0.9875454954,0.00067768,0.0004,0.8087627442,0.0317342493,25.0603740214,0.083998859,0.375,0.4294478528,0,0.0185185185,0.2373927039,0.3082410824
"Heterocephalus_glaber","RODENTIA","Herbivore","captive","LC",0,2.2644333928,0.00107597,0.0006,0.3008282028,0.0448013822,23.2548653683,0.114328767,0.4929971989,0.4810495627,0.0140449438,0.0116788321,0.2811837103,0.3434705527
